"External ID","Тип/ID","Сечение/ID","SVG контур","Толщина штриха","Цвет штриха","Цвет контура","Цвет заливки"
"__export__.uis_icon_settings_pillar_1","3","2","M 0,10 5,0 10,10 0,10 z","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_2","","","M0,5a5,5 0 1,0 10,0a5,5 0 1,0 -10,0","0","","False","#0000FF"
"__export__.uis_icon_settings_pillar_3","4","2","M 0,0 10,0 10,10 0,10 z","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_4","3","1","M 0,10 5,0 10,10 0,10 z","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_5","1","1","M 0,10 5,0 10,10 0,10 z","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_6","1","","M 0,10 5,0 10,10 0,10 z","1","","True","#0000FF"
"__export__.uis_icon_settings_pillar_7","3","","M 0,10 5,0 10,10 0,10 z","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_8","8","2","M 0,10 5,0 10,10 0,10 z M0,10 -4,14 M5,0 5,-5 M10,10 14,14","2","","True","#0000FF"
"__export__.uis_icon_settings_pillar_9","5","2","M0,0 0,10 10,10 10,0 z M 0,0 -5,0 M 10,0 15,0","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_10","7","2","M 0,0 10,0 10,10 0,10 z M 5,10 5,25 3,15 M 5,25 7,15","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_11","5","1","M0,5a5,5 0 1,0 10,0a5,5 0 1,0 -10,0 M0,11 10,11","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_12","4","1","M0,5a5,5 0 1,0 10,0a5,5 0 1,0 -10,0","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_13","","2","M 10,10 0,0 10,0 10,10 0,10 0,0 z","0","","False","#0000FF"
"__export__.uis_icon_settings_pillar_14","6","","M5,5 0,10 10,10 5,15 5 20","0","#0000AA","False","#0000AA"
"__export__.uis_icon_settings_pillar_15","9","","M 0,10 5,0 10,10 0,10 z M5,0 5,-15","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_16","5","","M0,5a5,5 0 1,0 10,0a5,5 0 1,0 -10,0 M0,11 10,11","0","","False","#0000FF"
"__export__.uis_icon_settings_pillar_17","7","","M 0,0 10,0 10,10 0,10 z M 5,10 5,25 3,15 M 5,25 7,15","0","","False","#0000FF"
"__export__.uis_icon_settings_pillar_18","8","1","M 0,10 5,0 10,10 0,10 z M0,10 -4,14 M5,0 5,-5 M10,10 14,14","2","","True","#0000FF"
"__export__.uis_icon_settings_pillar_19","8","","M 0,10 5,0 10,10 0,10 z M0,10 -4,14 M5,0 5,-5 M10,10 14,14","2","","True","#0000FF"
"__export__.uis_icon_settings_pillar_20","2","2","M 0,0 10,0 10,10 0,10 z M0,13 10,13 M0,16 10,16","0","","True","#0000FF"
"__export__.uis_icon_settings_pillar_21","9","2","M 0,10 5,0 10,10 0,10 z M5,0 5,-15","0","","True","#0000FF"
