"External ID","Наименование"
"__export__.uis_papl_apl_2","Ф.10-ПС 35/6кВ ""ТП-1"""
"__export__.uis_papl_apl_8","Ф.16-ПС ""Аксаитово"" 35/6кВ №0202"
"__export__.uis_papl_apl_9","Ф.3-ПС ""Трифоновка"" 35/6кВ №0105"
"__export__.uis_papl_apl_10","Ф.14-ПС Шершневка"
"__export__.uis_papl_apl_12","Ф.100-Новый100"
"__export__.uis_papl_apl_13","Ф.4-ПС ""Трифоновка"" 35/6кВ №0105"
"__export__.uis_papl_apl_14","Ф.5-ПС ""Трифоновка"" 35/6кВ №0105"
"__export__.uis_papl_apl_15","Ф.1-ПС Шустово"
"__export__.uis_papl_apl_16","Ф.2-ПС Шустово"
"__export__.uis_papl_apl_68","Ф.353-ПС Шустово"
"__export__.uis_papl_apl_69","Ф.6-ПС 35/6кВ ""ТП-1"""
"__export__.uis_papl_apl_70","Ф.18-ПС 35/6кВ ""ТП-1"""
"__export__.uis_papl_apl_73","Ф.1-ПС ""Трифоновка"" 35/6кВ №0105"
"__export__.uis_papl_apl_77","Ф.1-ПС ТЕСТ"
"__export__.uis_papl_apl_106","Ф.23-ПС Нартовка"
"__export__.uis_papl_apl_188","Ф.7-ПС Шершневка"
"__export__.uis_papl_apl_189","Ф.12-ПС Шершневка"
"__export__.uis_papl_apl_190","Ф.3-ПС Шершневка"
"__export__.uis_papl_apl_191","Ф.8-ПС Шершневка"
"__export__.uis_papl_apl_192","Ф.17-ПС Шершневка"
"__export__.uis_papl_apl_194","Ф.26-ПС Уньва"
"__export__.uis_papl_apl_195","Ф.351-ПС Нефтяная"
"__export__.uis_papl_apl_401","Ф.10-ПС ""Павловка"" (сторонняя-Пермэнерго) 35/6кВ"
"__export__.uis_papl_apl_404","Ф.99-ПС Шершневка"
