"External ID","ВЛ/ID","Наименование"
"__export__.uis_papl_tap_1","2","Ф.10-ПС 35/6кВ ""ТП-1""(ОЛ)"
"__export__.uis_papl_tap_2","","[БЕЗ НОМЕРА]([НЕ ПОДКЛЮЧЕНА])"
"__export__.uis_papl_tap_3","8","Ф.16-ПС ""Аксаитово"" 35/6кВ №0202(ОЛ)"
"__export__.uis_papl_tap_4","8","1(2)"
"__export__.uis_papl_tap_5","8","2(42)"
"__export__.uis_papl_tap_6","8","3(56)"
"__export__.uis_papl_tap_7","8","4(66)"
"__export__.uis_papl_tap_8","9","Ф.3-ПС ""Трифоновка"" 35/6кВ №0105(ОЛ)"
"__export__.uis_papl_tap_9","10","Ф.14-ПС Шершневка(ОЛ)"
"__export__.uis_papl_tap_10","9","1(37)"
"__export__.uis_papl_tap_12","12","Ф.100-Новый100(ОЛ)"
"__export__.uis_papl_tap_13","13","Ф.4-ПС ""Трифоновка"" 35/6кВ №0105(ОЛ)"
"__export__.uis_papl_tap_14","14","Ф.5-ПС ""Трифоновка"" 35/6кВ №0105(ОЛ)"
"__export__.uis_papl_tap_20","14","1(12)"
"__export__.uis_papl_tap_27","15","Ф.1-ПС Шустово(ОЛ)"
"__export__.uis_papl_tap_29","16","Ф.2-ПС Шустово(ОЛ)"
"__export__.uis_papl_tap_32","13","1(4)"
"__export__.uis_papl_tap_35","15","2(69)"
"__export__.uis_papl_tap_36","15","3(71)"
"__export__.uis_papl_tap_37","15","4(80)"
"__export__.uis_papl_tap_38","16","1(12)"
"__export__.uis_papl_tap_39","16","2(46)"
"__export__.uis_papl_tap_40","","[БЕЗ НОМЕРА]([НЕ ПОДКЛЮЧЕНА])"
"__export__.uis_papl_tap_41","15","1(1)"
"__export__.uis_papl_tap_63","68","Ф.353-ПС Шустово(ОЛ)"
"__export__.uis_papl_tap_64","69","Ф.6-ПС 35/6кВ ""ТП-1""(ОЛ)"
"__export__.uis_papl_tap_65","70","Ф.18-ПС 35/6кВ ""ТП-1""(ОЛ)"
"__export__.uis_papl_tap_66","12","2(5)"
"__export__.uis_papl_tap_67","12","1(2)"
"__export__.uis_papl_tap_68","12","4(9)"
"__export__.uis_papl_tap_69","12","3(8)"
"__export__.uis_papl_tap_70","70","1(8)"
"__export__.uis_papl_tap_71","70","2(32)"
"__export__.uis_papl_tap_72","12","5(11)"
